Assembly	reads_r_dbg_k_35
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	1135
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	914
Total length	914
Reference length	1040
GC (%)	51.64
Reference GC (%)	51.25
N50	914
NG50	914
N90	914
NG90	-
auN	914.0
auNG	803.3
L50	1
LG50	1
L90	1
LG90	-
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	87.885
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	914
Total aligned length	914
NA50	914
NGA50	914
NA90	914
NGA90	-
auNA	914.0
auNGA	803.3
LA50	1
LGA50	1
LA90	1
LGA90	-
